0,0,8,53,13,13,1,1,1
0,1,71,212,124,124,3,3,1
0,2,133,49,29,29,1,1,1
0,3,185,35,208,208,1,1,1
0,4,30,233,33,33,3,3,1
0,5,155,56,102,102,1,1,1
0,6,102,39,78,78,3,3,1
0,7,97,72,219,219,3,3,1
0,8,33,182,60,60,3,3,1
0,9,122,121,17,17,3,3,1
0,10,182,246,21,21,1,1,1
0,11,89,1,106,106,1,1,1
0,12,208,226,144,144,3,3,1
0,13,246,122,102,102,1,1,1
0,14,213,85,126,126,3,3,1
0,15,2,243,39,39,1,1,1
0,16,23,133,72,72,3,3,1
0,17,182,201,110,110,1,1,1
0,18,192,199,40,40,3,3,1
0,19,18,118,99,99,3,3,1
0,20,219,247,210,210,1,1,1
0,21,115,217,109,109,1,1,1
0,22,67,97,108,108,1,1,1
0,23,185,256,209,209,3,3,1
0,24,207,117,199,199,1,1,1
0,25,134,62,30,30,1,1,1
0,26,223,130,146,146,3,3,1
0,27,199,11,77,77,3,3,1
0,28,78,227,6,6,3,3,1
0,29,33,215,123,123,1,1,1
0,30,84,208,109,109,1,1,1
0,31,130,99,137,137,3,3,1
0,32,253,157,2,2,3,3,1
0,33,162,123,82,82,3,3,1
0,34,212,166,6,6,1,1,1
0,35,196,83,136,136,1,1,1
0,36,127,31,208,208,1,1,1
0,37,1,218,35,35,1,1,1
0,38,237,190,70,70,1,1,1
0,39,31,155,47,47,1,1,1
0,40,104,143,17,17,1,1,1
0,41,240,238,179,179,1,1,1
0,42,170,189,107,107,1,1,1
0,43,200,5,103,103,1,1,1
0,44,64,250,82,82,3,3,1
0,45,41,54,190,190,3,3,1
0,46,2,73,117,117,1,1,1
0,47,178,115,49,49,1,1,1
0,48,246,159,163,163,3,3,1
0,49,238,206,145,145,1,1,1
0,50,24,187,188,188,3,3,1
0,51,231,236,144,144,3,3,1
0,52,194,248,4,4,1,1,1
0,53,69,38,19,19,1,1,1
0,54,91,232,224,224,1,1,1
0,55,199,46,50,50,3,3,1
0,56,174,138,201,201,1,1,1
0,57,221,86,219,219,3,3,1
0,58,28,58,10,10,1,1,1
0,59,45,204,121,121,3,3,1
0,60,202,56,161,161,3,3,1
0,61,63,226,76,76,1,1,1
0,62,158,23,36,36,3,3,1
0,63,131,245,176,176,3,3,1
0,64,224,99,59,59,3,3,1
0,65,231,102,21,21,1,1,1
0,66,178,40,19,19,3,3,1
0,67,127,172,50,50,3,3,1
0,68,219,212,35,35,3,3,1
0,69,134,149,151,151,3,3,1
0,70,191,46,163,163,1,1,1
0,71,125,161,218,218,1,1,1
0,72,1,236,48,48,1,1,1
0,73,78,78,115,115,3,3,1
0,74,118,6,142,142,3,3,1
0,75,67,145,75,75,1,1,1
0,76,8,81,87,87,3,3,1
0,77,192,183,85,85,1,1,1
0,78,193,56,121,121,3,3,1
0,79,33,193,165,165,3,3,1
0,80,153,208,23,23,1,1,1
0,81,134,160,163,163,3,3,1
0,82,172,95,182,182,3,3,1
0,83,56,91,118,118,3,3,1
0,84,142,116,19,19,1,1,1
0,85,139,184,185,185,1,1,1
0,86,227,143,219,219,1,1,1
0,87,177,72,75,75,3,3,1
0,88,207,74,132,132,3,3,1
0,89,69,61,91,91,3,3,1
0,90,112,170,106,106,1,1,1
0,91,196,40,76,76,1,1,1
0,92,241,149,66,66,1,1,1
0,93,55,227,46,46,3,3,1
0,94,138,173,109,109,3,3,1
0,95,1,106,35,35,3,3,1
0,96,31,105,21,21,3,3,1
0,97,21,7,184,184,3,3,1
0,98,51,229,68,68,1,1,1
0,99,112,66,45,45,1,1,1
