176,123,144,144,3,3,1
90,35,127,127,1,1,1
115,195,90,90,3,3,1
195,69,7,7,3,3,1
36,236,175,175,1,1,1
84,100,154,154,1,1,1
133,47,2,2,1,1,1
158,253,167,167,1,1,1
72,16,172,172,1,1,1
117,147,81,81,1,1,1
138,148,112,112,3,3,1
31,158,34,34,3,3,1
210,116,183,183,3,3,1
150,229,22,22,3,3,1
145,90,196,196,3,3,1
148,188,222,222,3,3,1
212,214,59,59,3,3,1
54,49,160,160,1,1,1
45,7,47,47,3,3,1
109,38,60,60,3,3,1
202,144,83,83,3,3,1
12,140,129,129,3,3,1
234,8,224,224,1,1,1
218,216,2,2,3,3,1
205,206,195,195,3,3,1
61,134,224,224,3,3,1
173,224,197,197,1,1,1
149,193,122,122,1,1,1
89,34,103,103,3,3,1
195,221,95,95,1,1,1
86,147,99,99,1,1,1
217,226,149,149,1,1,1
22,208,131,131,1,1,1
145,120,45,45,3,3,1
189,64,13,13,1,1,1
185,83,30,30,1,1,1
239,176,162,162,3,3,1
38,100,81,81,3,3,1
7,65,219,219,1,1,1
69,101,174,174,1,1,1
76,75,56,56,1,1,1
238,56,33,33,1,1,1
136,91,204,204,3,3,1
223,160,59,59,1,1,1
19,140,87,87,3,3,1
21,198,205,205,3,3,1
142,11,29,29,3,3,1
74,5,16,16,1,1,1
36,161,98,98,3,3,1
209,155,213,213,1,1,1
197,83,78,78,1,1,1
219,232,161,161,3,3,1
150,108,134,134,3,3,1
181,141,96,96,3,3,1
231,225,144,144,1,1,1
169,155,96,96,3,3,1
121,41,157,157,1,1,1
65,227,162,162,1,1,1
6,221,174,174,3,3,1
106,60,31,31,1,1,1
39,179,47,47,3,3,1
226,256,187,187,3,3,1
212,174,126,126,1,1,1
210,82,177,177,3,3,1
58,49,21,21,3,3,1
41,10,58,58,3,3,1
130,5,221,221,1,1,1
78,251,211,211,1,1,1
194,197,180,180,3,3,1
78,69,215,215,1,1,1
252,173,90,90,1,1,1
172,87,45,45,1,1,1
18,206,103,103,3,3,1
114,114,206,206,1,1,1
191,96,111,111,1,1,1
139,55,194,194,1,1,1
228,212,182,182,1,1,1
28,247,59,59,1,1,1
79,74,57,57,1,1,1
63,24,98,98,1,1,1
240,1,203,203,3,3,1
174,56,53,53,1,1,1
36,222,32,32,3,3,1
204,121,121,121,3,3,1
126,235,103,103,3,3,1
148,159,74,74,1,1,1
96,195,57,57,3,3,1
35,94,113,113,1,1,1
209,173,191,191,3,3,1
144,115,211,211,1,1,1
190,140,213,213,3,3,1
67,240,167,167,1,1,1
161,126,104,104,1,1,1
89,131,70,70,3,3,1
232,244,198,198,3,3,1
50,238,170,170,1,1,1
250,51,147,147,1,1,1
27,134,158,158,3,3,1
114,57,199,199,1,1,1
238,186,37,37,1,1,1
