71,128,26,1,1,1,3
118,63,118,1,1,1,3
126,114,66,1,1,1,3
80,35,91,1,1,1,3
101,59,11,1,1,1,3
30,55,33,1,1,1,3
65,9,119,1,1,1,3
48,75,105,1,1,1,3
67,106,118,1,1,1,3
38,72,86,1,1,1,3
84,101,86,1,1,1,3
115,80,22,1,1,1,3
117,43,121,1,1,1,3
65,43,86,1,1,1,3
75,40,22,1,1,1,3
106,69,67,1,1,1,3
89,62,114,1,1,1,3
41,33,115,1,1,1,3
110,109,79,1,1,1,3
71,122,111,1,1,1,3
34,14,56,1,1,1,3
50,9,127,1,1,1,3
19,114,25,1,1,1,3
78,40,51,1,1,1,3
124,80,29,1,1,1,3
120,34,16,1,1,1,3
125,45,12,1,1,1,3
25,34,61,1,1,1,3
109,78,53,1,1,1,3
78,110,74,1,1,1,3
41,40,47,1,1,1,3
104,31,32,1,1,1,3
119,119,67,1,1,1,3
57,102,82,1,1,1,3
49,16,94,1,1,1,3
59,63,81,1,1,1,3
90,10,52,1,1,1,3
102,46,114,1,1,1,3
127,19,103,1,1,1,3
68,122,82,1,1,1,3
38,57,119,1,1,1,3
47,21,110,1,1,1,3
113,108,65,1,1,1,3
104,125,53,1,1,1,3
124,53,37,1,1,1,3
93,12,41,1,1,1,3
9,77,81,1,1,1,3
92,73,69,1,1,1,3
60,19,57,1,1,1,3
46,26,106,1,1,1,3
22,18,62,1,1,1,3
89,88,64,1,1,1,3
74,98,12,1,1,1,3
12,32,20,1,1,1,3
43,18,26,1,1,1,3
72,25,58,1,1,1,3
41,12,13,1,1,1,3
79,121,56,1,1,1,3
24,127,73,1,1,1,3
17,24,116,1,1,1,3
51,90,47,1,1,1,3
33,46,92,1,1,1,3
86,102,72,1,1,1,3
13,119,28,1,1,1,3
114,54,33,1,1,1,3
101,19,82,1,1,1,3
13,44,43,1,1,1,3
12,61,53,1,1,1,3
21,113,33,1,1,1,3
94,118,51,1,1,1,3
17,55,117,1,1,1,3
25,32,54,1,1,1,3
14,88,16,1,1,1,3
72,109,83,1,1,1,3
36,59,28,1,1,1,3
89,78,20,1,1,1,3
27,87,123,1,1,1,3
68,106,39,1,1,1,3
97,9,45,1,1,1,3
34,21,64,1,1,1,3
8,85,89,1,1,1,3
36,53,15,1,1,1,3
123,71,108,1,1,1,3
105,25,65,1,1,1,3
79,95,11,1,1,1,3
102,113,48,1,1,1,3
90,100,13,1,1,1,3
126,83,86,1,1,1,3
19,108,67,1,1,1,3
83,26,73,1,1,1,3
8,22,69,1,1,1,3
25,19,14,1,1,1,3
81,83,43,1,1,1,3
76,102,108,1,1,1,3
35,117,53,1,1,1,3
27,43,66,1,1,1,3
22,115,53,1,1,1,3
46,23,116,1,1,1,3
25,121,117,1,1,1,3
105,55,92,1,1,1,3
